City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atafu village,-8.5421,-172.5159,28.53,79,11,4.5,TK,1746951356
1,isafjordur,66.0755,-23.124,2.02,60,0,1.54,IS,1746951357
2,mandal,25.45,74.5667,37.51,24,4,3.7,IN,1746951358
3,cabo san lucas,22.8909,-109.9124,22.96,51,44,5.07,MX,1746951359
4,minas de marcona,-15.2119,-75.1103,13.19,88,18,3.34,PE,1746951360
5,wailua homesteads,22.0669,-159.378,23.44,86,75,7.72,US,1746951361
6,noosa heads,-26.3833,153.15,21.28,79,100,8.27,AU,1746951362
7,college,64.8569,-147.8028,5.09,46,40,1.34,US,1746951201
8,zyryanovsk,49.7386,84.2719,19.76,58,29,1.18,KZ,1746951365
9,yellowknife,62.456,-114.3525,4.29,80,75,4.12,CA,1746951366
10,port-aux-francais,-49.35,70.2167,8.17,95,100,20.16,TF,1746951367
11,qaqortoq,60.7167,-46.0333,0.21,81,99,2.04,GL,1746951368
12,fale old settlement,-9.3852,-171.2468,28.98,76,71,4.51,TK,1746951369
13,adamstown,-25.066,-130.1015,22.43,72,100,10.3,PN,1746951370
14,margaret river,-33.95,115.0667,21.25,50,0,5.16,AU,1746951371
15,kavieng,-2.5744,150.7967,27.3,76,100,2.54,PG,1746951372
16,sanctuary point,-35.1114,150.629,18.77,77,75,3.93,AU,1746951228
17,thompson,55.7435,-97.8558,0.09,93,20,2.06,CA,1746951374
18,tiksi,71.6872,128.8694,-0.61,88,100,2.4,RU,1746951375
19,benjamin aceval,-24.9667,-57.5667,16.22,93,0,1.84,PY,1746951376
20,lebu,-37.6167,-73.65,11.82,94,62,6.27,CL,1746951377
21,puerto natales,-51.7236,-72.4875,5.81,76,87,4.21,CL,1746951378
22,cam ranh,11.9214,109.1591,30.98,70,20,4.63,VN,1746951379
23,smithers,54.7804,-127.1743,5.18,87,75,1.54,CA,1746951380
24,peace river,56.2501,-117.286,10.92,53,75,2.06,CA,1746951382
25,ribeira grande,38.5167,-28.7,16.22,82,40,2.06,PT,1746951383
26,taoudenni,22.6783,-3.9836,30.12,27,1,9.77,ML,1746951385
27,ushuaia,-54.8,-68.3,3.81,87,40,1.54,AR,1746951386
28,tamanrasset,22.785,5.5228,31.95,9,0,1.03,DZ,1746951144
29,san clemente del tuyu,-36.3569,-56.7235,7.21,77,0,1.19,AR,1746951388
30,edinburgh of the seven seas,-37.0676,-12.3116,18.02,90,100,16.59,SH,1746951389
31,klyuchi,52.2667,79.1667,14.42,75,97,8.05,RU,1746951390
32,grytviken,-54.2811,-36.5092,-1.67,78,18,4.43,GS,1746951391
33,waitangi,-43.9535,-176.5597,12.9,70,22,5.3,NZ,1746951392
34,kananga,-5.8958,22.4178,25.25,75,100,1.34,CD,1746951393
35,mgandu,-5.95,34.1333,22.71,64,75,3.93,TZ,1746951394
36,badger,64.8,-147.5333,4.34,48,40,0.0,US,1746951395
37,bethel,41.3712,-73.414,11.05,80,0,0.0,US,1746951397
38,sandpoint,48.2766,-116.5533,12.03,65,100,0.45,US,1746951181
39,guarapari,-20.6667,-40.4975,23.09,92,93,4.24,BR,1746951399
40,chui,-33.6971,-53.4616,9.56,85,0,2.34,UY,1746951400
41,bilibino,68.0546,166.4372,-4.19,86,100,1.0,RU,1746951401
42,coquimbo,-29.9533,-71.3436,12.85,100,100,3.09,CL,1746951402
43,ilulissat,69.2167,-51.1,-4.99,68,100,8.75,GL,1746951403
44,kodiak,57.79,-152.4072,7.73,66,0,4.63,US,1746951404
45,aldinga beach,-35.2793,138.4604,18.7,50,3,1.44,AU,1746951405
46,akureyri,65.6835,-18.0878,2.96,81,20,3.6,IS,1746951406
47,flying fish cove,-10.4217,105.6791,26.82,89,91,3.6,CX,1746951407
48,albany,42.6001,-73.9662,9.38,84,0,1.34,US,1746951408
49,constantia,44.1833,28.65,16.5,70,7,1.2,RO,1746951409
50,thasra,22.8,73.2167,37.48,34,8,3.44,IN,1746951410
51,siem reap,13.5,104.0,33.28,47,100,1.86,KH,1746951411
52,mokhsogollokh,61.4681,128.9203,11.5,42,100,4.6,RU,1746951412
53,saint-philippe,-21.3585,55.7679,25.91,82,37,6.55,RE,1746951414
54,jamestown,42.097,-79.2353,8.9,76,0,4.12,US,1746951415
55,stanley,54.868,-1.6985,14.01,65,0,2.57,GB,1746951416
56,sulak,43.2734,47.5146,21.26,57,8,8.85,RU,1746951417
57,iqaluit,63.7506,-68.5145,-9.15,67,100,4.63,CA,1746951418
58,bredasdorp,-34.5322,20.0403,15.75,61,8,3.66,ZA,1746951419
59,kachug,53.9606,105.8817,15.24,72,100,5.21,RU,1746951420
60,hermanus,-34.4187,19.2345,15.45,67,6,4.03,ZA,1746951421
61,blackmans bay,-43.0167,147.3167,10.41,87,100,0.45,AU,1746951422
62,itamaraju,-17.0392,-39.5311,20.38,98,14,0.75,BR,1746951423
63,utrik,11.2278,169.8474,27.17,80,20,7.34,MH,1746951424
64,crescent city,41.756,-124.2018,11.94,95,100,0.0,US,1746951425
65,howard springs,-12.497,131.047,30.55,72,100,2.15,AU,1746951427
66,luancheng,37.8792,114.6517,32.55,14,2,4.81,CN,1746951428
67,toamasina,-18.1667,49.3833,26.0,94,75,3.09,MG,1746951429
68,whitehorse,60.7161,-135.0538,2.43,69,75,0.0,CA,1746951431
69,fort st. john,56.2499,-120.8529,7.94,46,40,3.6,CA,1746951432
70,nuuk,64.1835,-51.7216,-4.66,80,75,3.6,GL,1746951433
71,merizo village,13.2658,144.6691,29.43,84,75,5.46,GU,1746951230
72,paramonga,-10.6667,-77.8333,17.69,91,40,2.47,PE,1746951435
73,lemvig,56.5486,8.3102,13.18,81,72,2.55,DK,1746951436
74,sao joao da barra,-21.6403,-41.0511,22.78,94,45,5.49,BR,1746951437
75,ta`u,-14.2336,-169.5144,27.43,79,92,3.19,AS,1746951438
76,invercargill,-46.4,168.35,9.45,85,100,1.34,NZ,1746951439
77,port elizabeth,-33.918,25.5701,15.73,86,40,8.75,ZA,1746951440
78,hamilton,39.1834,-84.5333,12.79,83,75,2.57,US,1746951151
79,sarangani,5.4033,125.4636,28.95,73,89,6.46,PH,1746951442
80,longyearbyen,78.2186,15.6401,4.91,65,20,2.06,SJ,1746951329
81,punta arenas,-53.15,-70.9167,5.06,87,40,11.83,CL,1746951444
82,olonkinbyen,70.9221,-8.7187,-2.81,77,100,7.04,SJ,1746951445
83,doctor juan leon mallorquin,-25.4,-55.2667,11.2,85,0,1.82,PY,1746951446
84,mossel bay,-34.1831,22.146,16.96,66,10,4.48,ZA,1746951448
85,al burayqah,30.4062,19.5739,22.2,63,0,6.17,LY,1746951449
86,odienne,9.51,-7.5692,26.4,71,20,2.26,CI,1746951450
87,tazovsky,67.4667,78.7,-3.25,82,100,6.83,RU,1746951451
88,dzhalagash,45.0833,64.6667,30.6,20,2,3.96,KZ,1746951453
89,kodinsk,58.6881,99.1844,12.26,44,100,5.29,RU,1746951454
90,holualoa,19.6228,-155.9522,21.91,95,20,6.17,US,1746951455
91,sitka,57.0531,-135.33,6.94,81,100,0.0,US,1746951456
92,kayangel,8.0823,134.7173,28.39,78,100,5.4,PW,1746951457
93,happy valley-goose bay,53.3168,-60.3315,5.17,100,100,1.03,CA,1746951458
94,palmer,42.1584,-72.3287,8.48,92,0,0.0,US,1746951459
95,dolna banjica,41.7861,20.9061,15.88,63,49,1.85,MK,1746951460
96,hazorasp,41.3194,61.0742,34.44,13,0,3.41,UZ,1746951462
97,ancud,-41.8697,-73.8203,9.71,90,100,2.0,CL,1746951463
98,haiku-pauwela,20.9219,-156.3051,23.45,80,20,6.17,US,1746951464
99,tolanaro,-25.0319,46.9987,28.29,68,0,4.28,MG,1746951465
100,uturoa,-16.7333,-151.4333,27.84,78,100,2.21,PF,1746951718
101,harstad,68.799,16.5293,10.09,67,97,1.79,NO,1746951719
102,lihue,21.9789,-159.3672,23.77,73,75,7.72,US,1746951720
103,port lincoln,-34.7333,135.8667,18.17,50,5,2.62,AU,1746951721
104,st. john's,47.5649,-52.7093,11.75,98,100,6.69,CA,1746951722
105,nalut,30.3333,10.85,27.94,32,70,7.01,LY,1746951471
106,benguela,-12.5763,13.4055,27.66,41,0,1.82,AO,1746951472
107,danilovka,50.3557,44.1168,14.06,47,4,3.47,RU,1746951725
108,pyin oo lwin,22.0333,96.4667,31.79,35,0,2.75,MM,1746951474
109,papao,-17.75,-149.55,25.82,77,100,2.87,PF,1746951475
110,anadyr,64.75,177.4833,1.28,86,40,2.0,RU,1746951728
111,birjand,32.8663,59.2211,30.26,10,75,2.06,IR,1746951477
112,papatowai,-46.5619,169.4708,8.58,90,100,2.76,NZ,1746951478
113,aasiaat,68.7098,-52.8699,-7.64,92,100,7.21,GL,1746951480
114,la passe,45.5549,-0.8967,14.62,89,100,5.4,FR,1746951734
115,kruisfontein,-34.0033,24.7314,15.3,58,7,9.47,ZA,1746951483
116,juan griego,11.0817,-63.9655,26.46,85,100,4.63,VE,1746951736
117,usogorsk,63.4106,48.6872,5.47,55,98,6.15,RU,1746951737
118,itoman,26.1247,127.6694,18.21,94,75,12.35,JP,1746951738
119,dabakala,8.3667,-4.4333,26.43,78,86,2.9,CI,1746951739
120,zambezi,-13.5432,23.1047,23.71,52,5,2.14,ZM,1746951740
121,kayes,14.0,-11.0,33.19,36,54,5.74,ML,1746951490
122,mili,6.0815,171.735,28.04,77,94,7.45,MH,1746951742
123,malanje,-9.5402,16.341,21.9,61,38,2.7,AO,1746951493
124,hawaiian paradise park,19.5933,-154.9731,21.73,90,100,4.63,US,1746951494
125,east london,-33.0153,27.9116,18.52,52,0,10.8,ZA,1746951746
126,dhidhdhoo,6.8833,73.1,29.51,73,0,6.84,MV,1746951747
127,tommot,58.9564,126.2925,4.13,91,100,2.42,RU,1746951497
128,priozersk,61.0393,30.1291,3.38,70,94,5.37,RU,1746951750
129,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,75,75,5.0,RU,1746951669
